还是	h;	2
出来	c;	2
但是	d;	2
发现	f;	2
工作	g;	2
不是	b;	2
自己	z;	2
一个	y;	2
现在	x;	2
我们	w;	2
这个	v;	2
他们	t;	2
什么	s;	2
如果	r;	2
起来	q;	2
朋友	p_
茌	ctiiu
茚	ytuaa
茆	mtuaa
茓	xtuo
茕	qtaei
茀	fta
枧	jdiau
枨	cdueo
杻	cdaie
刳	kpii
昃	zgeu
旻	mgoe
昉	fgoeu;	2
呣	rnaa
剀	kwii
邾	vfai
迮	zfoa
侑	ykeuu
侉	kkeu
佾	ykuo
徂	cgia
郄	qa
䏝	vree
郇	xsai
𬉼	om
炘	xmuu
沭	seuuo
泺	leuao
泖	meuaa
怍	zhu
㤘	vhua
怿	yhaoe
戽	hjoo
祎	yjee
陔	gcoeo
绁	xxeia
绂	fxeu
骀	dxa
顸	hoeui
珉	moae
垤	dyea
垱	dyio
垌	dyia
垧	syui
挦	xuae
荑	tte
贳	siia
荜	btea
茼	ttia
莛	ttue
荇	xtuu
荦	ltuei
剋	kiii
荬	mtao
荮	vtaa
柰	nde
栊	ldeuo
柙	xdia
柝	tduu
柈	pdou
柁	tdoo
柽	cdaoi
砘	dpea
殂	cpia
觇	criau
尜	gteu
眄	mwei
眍	kweau
𠳐	bnee
眊	mwue
哓	xnea
畎	qweuo
哕	hniau
哚	dnuauu;	2
峣	yweae
贶	kwoi
郜	gfai
秕	bfea
秭	zfua
牮	jkue
郗	caa
郤	xaai
狨	rsea
飑	bsuaa
昝	zsu
饸	hsio
饹	lsuao
娈	llaue
疬	lleua
疭	zlii
羑	ymuao
烀	hmuo
洧	weeu
洇	yeoi
洎	jeui
洫	xeuie;	2
浍	heie
浕	jeaeo
恓	xheie
扃	jjia
祓	fjeu
牁	gceio
姮	hbe
绗	hxuu
耖	coiu
珙	goei
珰	doio
珧	youoa
珣	xoua
琤	coua
埕	cyo
埘	syuie
埚	gyoi
埒	lyuo
垸	yyoo
捃	juaeoi
莳	stui
莨	ltoa
栲	kdeie
栳	ldeiu
梃	tdue
栝	gdueo
桕	jdui
栟	bdou
彧	yuoie
鬲	geoi
豇	jieie
砟	vpue
砼	tpie
剞	jpii
轾	vueai
辂	luua
唛	mne
眙	ywaooi
鸮	xnuae
趵	bnua
唣	znui
钲	vceie
钽	tcui
铈	scoe
铊	tcoou
铌	ncae
䥽	pcau
毪	mfao
盉	hfia
俵	bkee
俶	ckie
郫	pdai
脒	mro
猁	lsue
狳	ysie
猃	xsio
狺	ysoee
颃	hleui
訚	ykoe
烜	xme
剡	smii
浥	yeoia
悝	khiae
悛	qhao
陬	zcei
牂	zcou
绠	gxei
绡	xxiou
骎	qxa
耜	soia
琇	xoue
埴	vyeii
埯	rye
捯	duea
埸	yyu
埵	dyue
埤	pyuie
埝	nyi
堍	tyuao
捽	zuo
掊	puoe
堉	yyoeu
悫	qyo
埭	dya
萁	qteiu
萜	ttiai
棻	ftuu
萏	dtuau
菪	dtoo
菰	gtai
菡	htai
梿	ldoeoa
觋	xiia
桴	fduo
桷	jdua
棁	vdoii
桫	sdeo
酞	tieu
雩	yyee
眭	swiui
晡	bgei
眵	cwuau
圊	qneeu
晞	xguo
唵	rneuia
圉	yniuo
唼	snoea
帻	zwee
崚	lwiu
崦	yweui
赇	qweio
铗	jceo
铙	ncea
铟	ycoie
铪	hcio
铫	dcuo
铷	rcau
牾	wfei
秾	nfo
鸻	hguae
舴	zgue
脬	pruo
猞	ssie
阇	skeiu
焗	jmaea
淠	peia
惝	thi
惇	dhoeo
皲	jjau
郿	mcaii;	2
隈	wci
胬	nbia
欸	rzu
骐	qxei
骒	kxi
骖	cxao
耠	hoio
琫	boee
琯	goo
琚	joaee
揳	xuee
揸	vuuuu
揠	yuea
堙	yyeii
塄	lyiao
耋	diea
塆	wyoe
靰	wie
靸	siua
葳	wteu
葸	xtia
葶	tto
棼	fduoa
椟	ddeioo
棹	vdieu
棰	cduee
椪	puoo
椐	jdae
酤	giei
酡	tioo
辋	wui
椠	quuu
睄	swiou
戢	jnei
喈	jnea
跖	vneuo
嗞	znou
嵖	cwuu
嵎	ywia
嵫	zwoua
赕	dwouo
铻	wce
铼	lceoo
锇	rcu
锔	jcaea
毳	cfueu
毽	jfaea
犋	jfiauo
稃	ffuo
稂	lfoa
筚	bfeae
舄	xduao
媭	xgau
腈	jreeu
猹	csuuu
觚	gsuu
猱	nsa
裒	plui
痦	wlei
鹇	xkuae
粞	xmei
焜	kmui
渫	xeei
湜	seuie
湲	yeuoe
湉	teoou
愔	yhoeui
祾	ljiu
巯	qzo
翚	hze
缌	sxiao
缑	gxiae
耢	loa
瑗	youoe
瑄	xooo
趑	zyoe
摅	suieo
搋	cuuui
搛	juou
搠	suouu
搦	nuaea
蓁	vtee
蓍	stei
蓐	rteue
鹋	mtuae
蒽	rtoio
蓊	wtuo
蓠	ltoe
蒟	jioe
蒹	jtou
蒗	lteoo
蓥	ytie
楯	siuu
訾	zro
睚	yweuiu
跬	kniui
跐	cnieu
蛸	swioua
嗐	hnoo
罨	yweuia
锞	kciao
犏	pfo
歃	sfuai
筢	pfei
筲	sfiou
毹	skue
貊	mae
貅	xai
腠	cre
腩	nrei
腧	sriu
塍	croui
媵	yrou
鲐	tsao
鹐	qsuae
亶	dlo
瘃	vleuo
瘐	yluio
瘆	slaou
溱	veee
漭	meaue
溽	reeu
溻	teuia
溷	heoie
滗	beue
滫	xeiu
滏	feuoe
滃	whuo
滪	yhaoeu
禊	xjeee
嫫	mbau
骝	lxuai
骟	sxoa
耥	toio
璈	roee
獒	roeu
觏	goia
慝	tuoao
叆	rouoe
摽	bueiee
墁	myui
撄	yuiaa
翥	viao
榖	gyuaao
靺	mie
靿	yiaa
甍	mtiaea
蔸	dtui
蔟	ctoeu
槠	vdoae
僰	biuo
酹	liuo
碲	dpoe
豨	xpuo
䁖	lwouau;	2
蜞	qweiu
蜱	pwui
蜩	twuai
嘡	tnioiu
嘚	dnuu
赙	fwei
箐	qfee
箦	zfee
箬	rfa
箅	bfi
箜	kfoo
箢	wfoo
劁	qkii
魆	xdeao
艋	mga
觫	sseio
瘌	lleii
瘊	hli
阚	kka
鲞	xmua
粿	gmia
熥	tmoa
滹	heieu
漶	heiao
潋	leiue
澉	geaeu
綮	qjaa
谮	zjea
褙	bjie
屣	xvu
鹛	mcuae
嫚	mbui
瞀	mziae
骢	cxui
耧	loou
璁	coui
奭	speue
髫	tiuio
撙	zuou
蕈	xtei
蕤	rteuu
蕞	ztu
蕺	jtoie
瞢	mtiai
醌	kiui
醅	pio
霈	pyeo
颙	yweuia;	2
踒	wnue
踬	vnuue
踺	jnaea
蝾	rwau
蝻	nwei
蝰	kweu
螋	swui
蝓	ywiua
噍	jnio
幞	fwi
骺	hwuu
镔	bcoo
篌	hfiae
鲣	jsii
鲥	ssuie
鲩	hsoo
瘼	mlau
𥻗	cmuu
糌	zmu
糍	cmou
熜	zmui
澌	seeiu
潲	seuei
潟	xeuiu
谳	yjei
褟	tjuia
屦	jvuuo
蝥	mziao
骣	cxae
耩	joeei
璟	joui
璠	fouo
璘	loouu
聱	roei
髹	xiiuu
甏	bye
縠	hyua
蕻	hteie
颟	mteui
薤	xteu
檎	qdioe
樨	xdae
橼	ydaa
墼	jiiue
翮	hiao
磲	qpeo
殪	ypiu
嚄	hnaui
嚆	hnauo
暾	tgoe
蹁	pno
螠	ywouia
䦃	vcau
镗	tcio
镘	mcui
镚	bcia
镝	dcoe
镠	lcao
氇	lfua
氆	pfou
篥	lfeiu
劓	ydii
徼	jgui
膦	lrou
膙	jsaeo
鲳	csui
鲴	gsoi
鲵	nsuiu
鲻	zsaa
獴	msaue
廨	xluaa
赟	yliai
瘰	lliaa
瘵	vluae
癃	llaiu
瘳	cla
麈	vloee
糗	qmui
燠	ymuie
澥	xeuaa
隰	xcuia
颡	szeu
缲	qxoi
缳	hxia
璪	zoo
鞡	lie
鞬	jiae
薷	rteo
礅	dpoeu
豳	bweue
黻	feeu
螵	pweie
罽	jwou
嶷	ywuaa
镡	cceiu
镦	dcoeu
镩	ccoo
镪	qca
篼	dfuiu
簖	dfouu
簋	gfae
鼢	fduoau
龠	ykoii
貘	maa
貔	pau
臌	griu
鲼	fsei
鲽	dsei
鳀	tsuie
癍	bleeo
檗	bvuu
鞨	hiui
鞧	qioue
藠	jiuiu
礓	jpei
黟	ywuau
鳐	ysuo
糨	jmaeo
鬏	jiue
攉	hueo
蘧	qtie
霪	yyeou
霨	wya
蹽	lneuui
蹾	dnoeu
镲	ccoou
籀	vfeiua
齁	hduao
艨	mgau
鳓	lseia
㸆	omu
襦	rjeo
襞	bvo
缵	zxue
巉	cwuou
黥	qwoeo
黪	cwaoe
镴	lcaa
璺	wdee
鼯	wdei
臜	zrue
鳜	gseu
瓘	goa
爝	jmuo
耱	moo
氍	qwue
躐	lnaa
镵	ccua
趱	zyu
躜	znuei
躞	xnoe
襻	pjuu
纛	doia
攮	nuei
爨	cduu
齉	ndeu
亍	coii
尢	wpaa
彳	cgii
卬	rsii
𠙶	rcai
毌	gxee
邘	yoai
戋	joo
圢	tyeii
氕	pfuu
伋	jkuao
仝	tkeie
冮	gleie
氿	geua
汈	deea
氾	feaa
忉	dhau
𬣙	oj
讱	rjau
扞	huee
圲	qyuei
圫	tyuea
芃	ptua
朳	bduo
朸	ldauu
𨙸	qiaii
吖	rnoui
屼	wweua
屾	swia
辿	cwoao
钆	gca
仳	pke
伣	xkia
伈	xkoa
癿	qdaa
甪	lgii
邠	baai
犴	rsee
冱	hlea
邡	flai
𬇕	oh
汋	veuao
䜣	xjuu
讻	xjuoa
𬣞	ojo
孖	zcai
𬘓	ox
纩	kxo
玒	hoeie
玓	dou
玘	qoa
玚	yoauu
刬	coiii
𫭟	oi
坜	lyeua
坉	tyea
扽	dueaa
𫭢	oiu
坋	fyu
扺	vuuaa;	2
㧑	hiau
毐	ryaa
芣	fteu
苉	ptea
芘	pteau
芴	wtuau
芠	wtoe
𫇭	oia
杩	mdaa
轪	dueuo
𫐄	yueua;	2
芈	mree
呙	gnia
㕮	fwuou
岍	qweei
𫵷	ow
岜	bwa
冏	jwuo
岙	rfia
伾	pkeu
㑇	vkuaa
伭	xkoe
佖	bkoa
佁	ykaoo
狃	nsai
𣲘	wheea
𣲗	wheei
𬇙	ohi
㳇	fhu
忮	vhei
𬣡	oje
诇	xjia
邲	bja
诐	bjau
𫸩	ov
阽	dcie
䢺	ccai
阼	zcue
𨚕	bza
纮	hxe
𫘜	oxo
𬘘	oxoa
𫘝	jxae
玟	mooe
邽	gya
邿	syai
坥	jyi
坰	jyia
坬	gyuu
坽	lyiao;	2
耵	dieii
䢼	giai
𦭜	viia
苠	mtae
㭎	giiau
枘	rdia
匼	kuio
𬨂	ou
𬀩	owe
𬀪	owi
岽	dweao
㟃	swae
𬬩	of
钐	scuu
钖	ycau
佴	rkei
侁	skueu
侹	tkue
佸	hkue
佺	qkie
㑊	ykoeo
侂	tkoeu
佽	ckoeu
侘	ckoo
郐	kkai
饳	dsai
炌	kmi
炆	wmoe
怊	chau
鸤	svua
弨	cvau
卺	jcaa
驵	zxiae
绋	fxa
绐	dxao
耔	zoa
珅	soiai
垯	dyeu
垙	gyio
垲	kyia
埏	syuia
垍	jyui
鿍	oy
垎	hyuao
垟	yyou
垞	cyoo
垵	ryoo
垏	lyae
拶	zuaa
茈	zti
茺	ctoeua
茳	jteoe
茛	gtae
柃	ldio
砑	ypea
轵	vuoiu
轷	huuo
轹	luuao
轺	yuau
耑	vweui;	2
钘	xce
钬	hco
矧	sfaei
俫	lkeo
舁	ydeu
俜	pkia
俙	xkuo
俍	lkoao
舣	ygouo
鸧	ckuae
饻	xsoe
疢	clou
炣	kme
炟	dmuie
㶲	ymuai
泚	ceie
浈	veiei
洚	jeuae
陧	ncui
绖	dxe
彖	txeu
恝	jooa
珪	goiu
埗	byie
垾	ryu
垺	fyuo
埆	qyua
垿	xyoe
埌	lyoa
埇	yyao
莰	ktiu
莶	ltioo
桄	gdio
酎	viei
酏	yiaia
恧	npo
𨐈	guio
辀	vuuuo
辁	quiee
哳	vnei
帱	cweee
赆	jwaeo
钷	pce
眚	sfiae
倻	ykeia
倴	bkeue
脩	xkuau
倕	ckuee
倞	jkoeo
倓	tkou
倧	zko
舭	bgea
舯	vgia
瓞	dgu
鸰	lkua
脎	sruo
胲	hro
鱽	dsau
狴	bsea
眢	ysia
痄	vluee
疰	vloee;	2
痃	xloe
羖	gmu
羓	bmai
桊	jmuu
悃	khoi
袪	qjiua
祧	tjuo
陴	pcui
剟	dzii
掭	tueei
堎	lyiu
堐	yyeui
埼	qyeue
掎	jueue
埫	cyio
堌	gyoie
埪	kyoo
壸	kyee
聍	nioo
菝	bteie
菥	stuuu
䓫	qteue
䓬	oii
萆	btuie
鿎	op
唪	fneee
畤	vwiue
趼	jneei
跂	qnei
蚺	rwiae
崟	ywie
铏	xcee
铕	yceu
铖	cceu
铘	yceaa
铚	vcea
铞	dcoi
铥	dcue
铴	tceo
牿	gfue
稆	lfoi
偰	xkee
偡	vkei
偭	mke
偲	ckiao
偁	ckuo
㿠	hdio
偓	wka
徛	jge
舳	vgiae
鸼	dgua
脶	lroii
脞	crii
鱾	jsaea
觖	jsaeo;	2
庳	bluie
堃	kliu
羝	dmua
悰	choo
谞	xjai
艴	fvu
婍	qbeu
婠	wboo
绹	txua
堾	cyee
揕	vueiu
堧	ryeu
喆	vyiu
堨	ryui
塅	dyui
堠	hyiae
絷	vuaai
𪣻	oyo
𡎚	pyoa
葙	xtuui
蒇	cteui
蒈	ktea
蒉	ktia
蒎	pteou
楗	jdaea
觌	diiau
皕	bpeu
𫐐	nuui
辌	luoeo
黹	veouo
嵁	kweiu
赑	bwia
赒	vwuai
鿏	oc
铹	lcau
铽	tcea
锎	kcoi
锓	qcae
筘	kfeio
筅	xfue
傃	skeea
傉	nkeu
翛	skuaa
傒	xkuoa
傕	jkoa
腙	zroo
馉	gsiau
毵	szue
矞	yziau
遘	gooa
塥	gyeo
堽	gyiae
塝	byo
搌	vuaee
蓣	ytaoe
椹	sdei
楙	mdao
辒	wuui
𫐓	ruaouu
觜	zrua
鹍	kgu
跱	vniu
赗	fwia
锖	qceeu
锘	ncau
锳	ycaui
锧	vcuu
锫	pcoe
锬	tcouou
筻	gfeio;	2
傺	ckuaee
鹎	bduae
僇	lkaoi
腽	wru
鲉	csia
鲊	vsue
鲌	bsui
鲏	psa
𦝼	lroua
馌	ysiui
廒	rlee
瘅	dlou
煁	cmei
滠	seeia
滉	heuii
谫	jjou
戤	gbea
瑱	toei
墕	yyeie
墈	kyeia
墐	jyei
墘	qyeiu
𡐓	kyoea
墚	lyeo
撖	huae
𪤗	oya
蔌	steiu
蓰	xtuuie
蔹	ltiue
榍	xdaei
酾	sie
酲	cioi
酴	tiie
碹	xpoo
碥	bpoa
劂	jpiii
䴗	jwuae
瞍	swuia
㬎	xgaa
跽	jnaeo
蜾	gwiao
锽	hcui
锾	hcuo
镃	zcoua
馝	bfoa
箨	tfei
僬	jkioo
僔	zkou
僎	vka
槃	pguu
鲒	jsiu
鲕	rseu
鲖	tsi
鲗	zsi
鲘	hsuuo
鲙	ksiee
廑	jleii
瘗	yleo
瘥	cloue
瘕	jlae
鲝	vmuai
鄫	cma
漹	yeeie
漤	leuua
禛	vjeiuo
禚	vjou
嫜	vbo
墣	pyi
墦	fyuoi
墡	syou
劐	htii
槱	ydeio
磉	spao
踦	jneue
踣	bno
蝤	qwouei
镈	bceiei
镋	tcioo
镎	nciu
儇	xkiae
皞	hduie
鲦	tsua
鲪	jsaeoi
鲬	ysaoi
觭	jseue
糈	xmai
鹣	jmua
憙	xyoo
擐	huia
鄹	zia
蕗	ltoiu
蕹	wtoea
醑	xiaiu
𫟦	ouo
蹅	cnuu
踶	dnui
螗	twoea
馞	bfeia
篚	ffe
鼽	qdua
衠	vgei
鲭	qsee
鲯	qsei
鲺	ssau
鲹	ssaoe
癀	hlei
瘭	blei
羱	ymeu
燋	jmui
黉	hheii
嬛	hbia
檑	ldeo
磻	ppuoi
瞵	lwouua
蹐	jnoeu
镤	pcii
镥	lcuau
镨	pcou
簏	lfoee
儦	bkoeoo
鲾	bseo
鲿	csioe
鳁	wsui
鳂	wsiae
鳈	qsui
鳉	jsoeua;	2
䗪	vliao
馘	gme
爇	rteio
藨	btoeoo
檫	cdoo
礞	mpaue
蹢	dnoeia
蹜	snooi
镮	hcia
镱	ycoeo
鼩	qduao
皦	jduiu
臑	nreo
鳑	psoe
鳒	jsouo
冁	cmae
䎖	zmao
瀌	beoeo
嚭	pyee
蹯	fnuo
鳘	mfua
儳	ckuau
儴	rkoe
鳛	xsao
蠃	lliao
嬿	ybeio
鬒	vieiu
颥	ryeui
瀹	yeii
瀵	feou
鼱	jdeeu
鳠	hsaui;	2
鳡	gseuo
鳣	vsoei
躔	cnoei
皭	jduo
鳤	gsue
鼷	xduoa
齇	vdiei
拋	pueua
珮	pou
袊	ljio
吶	nnia
闇	rwoe
幷	bfue
柟	ndi
伷	vkiae
勣	joau
吋	cneio
呎	cnae
噹	dnio
埶	syua
妳	nbua
崓	gwoiei
搧	suoaa
暐	wgai
澐	yeeo
澔	heuiu
濛	meauee
獏	msaui
綄	hxoo
菑	zta
蓱	pteoo
蹓	lnuai
揎	xuoo
囝	jnai
欷	xau
顗	yweuia'	3
疋	pcoo
螓	qweeu
舡	cgeie
麤	cloeo
〇	laa
瞇	mwou
肏	caiai
袩	vjiei
讬	tjue
诪	vjee
谉	sjoo
豻	raee
佧	kkieo
氽	tkeo
趶	knee
趷	knue
趹	jnaeo;	2
趻	cnio
趽	fno
跅	tnuu
跓	vnoe
阢	wceu
坶	mya
茇	bteu
挢	juueu
揲	dueie
揞	ruoei
邒	tia
邔	qvai
邖	swai
邚	rbai
邜	xsaii
邞	foai
邟	klaii
邤	xgai
邥	sjai
邧	yoaii
邩	hma
邫	booi
邭	jsai
邷	wuai
邼	kuai
郀	kpa
擗	puae
哜	jnoeui
猸	msaii
沲	teue
弪	jvaoe
缍	dxue
缋	hxiai
缏	bxui
钑	scuao
铇	bcuaa
铓	mcauo
铔	ycei
铦	xcuei
锠	cciai
楱	cdeee
榀	pdia
軎	wioi
攴	pra
膣	vroo
膪	croe
鞜	tieo
憝	dloa
礤	cpau
钶	kcei
钸	bceui
镙	lciaa
镟	xcoeu
饤	dseii
饦	tsue
饾	dseia
馂	jsao
痖	ylei
馚	ffuoa
馛	bfeu
馜	nfae
馟	tfuo
馠	hfii
馡	ffiei
蚵	kweioi
蟓	xwuai
糸	mxiu
麴	qiuao
謦	qyoe
鳆	fsue
鳋	ssaoi
鱻	xsuau
鲄	hsei
鲓	kse
齄	vduui
	oyu
峏	oweu
	ope
乢	gwa
乣	jxaa
乤	xiaa
囧	jnuo
